,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tignere,86,CM,1568878599,81,7.37,12.65,77.57,2.04
1,Nadym,100,RU,1568878599,75,65.53,72.51,50.93,8.68
2,Atuona,0,PF,1568878602,74,-9.8,-139.03,80.09,14.97
3,Ushuaia,75,AR,1568878602,80,-54.81,-68.31,35.6,9.17
4,Jamestown,100,AU,1568878603,16,-33.21,138.6,74.15,20.58
5,Cape Town,0,ZA,1568878603,77,-33.93,18.42,73.0,2.24
6,Vila,75,IT,1568878603,77,45.18,8.4,64.0,8.05
7,Port Elizabeth,1,US,1568878603,76,39.31,-74.98,63.0,5.82
8,Sitka,0,US,1568878604,78,37.17,-99.65,72.0,11.99
9,Haines Junction,87,CA,1568878604,95,60.75,-137.51,39.41,6.89
10,Kapaa,90,US,1568878509,83,22.08,-159.32,81.0,6.93
11,Borba,9,BR,1568878604,85,-4.39,-59.59,73.61,1.77
12,Viedma,0,AR,1568878605,51,-40.81,-62.99,44.27,19.6
13,Pyaozerskiy,41,RU,1568878605,62,65.83,31.17,40.85,8.61
14,Mataura,51,NZ,1568878605,87,-46.19,168.86,48.99,18.01
15,Nelson Bay,0,AU,1568878605,82,-32.72,152.14,66.2,13.87
16,Saint-Pierre,0,FR,1568878606,87,48.95,4.24,54.0,5.82
17,Cidreira,0,BR,1568878606,83,-30.17,-50.22,57.23,10.09
18,Aklavik,90,CA,1568878606,81,68.22,-135.01,42.8,4.7
19,Avarua,100,CK,1568878401,68,-21.21,-159.78,71.6,3.36
20,Abu Samrah,0,SY,1568878607,16,35.3,37.18,93.23,3.24
21,College,90,US,1568878246,100,64.86,-147.8,46.99,4.7
22,Rio Gallegos,75,AR,1568878246,69,-51.62,-69.22,37.4,16.11
23,Tuktoyaktuk,100,CA,1568878246,78,69.44,-133.03,43.19,11.72
24,Hermanus,100,ZA,1568878246,78,-34.42,19.24,70.0,7.0
25,Thinadhoo,99,MV,1568878247,74,0.53,72.93,83.51,8.48
26,Kloulklubed,90,PW,1568878247,88,7.04,134.26,77.0,5.39
27,Cherskiy,0,RU,1568878247,76,68.75,161.3,32.39,12.95
28,Sitges,20,ES,1568878248,68,41.24,1.82,75.99,8.05
29,Barrow,100,AR,1568878248,41,-38.31,-60.23,48.59,12.48
30,Yulara,14,AU,1568878248,6,-25.24,130.99,95.0,20.8
31,Hualmay,96,PE,1568878248,90,-11.1,-77.61,59.93,12.28
32,Ust-Omchug,100,RU,1568878249,80,61.13,149.63,36.71,4.07
33,Zhifang,0,CN,1568878249,61,30.35,114.31,80.6,6.71
34,Puerto Escondido,100,MX,1568878249,79,15.86,-97.07,76.31,7.38
35,Tiksi,100,RU,1568878250,94,71.64,128.87,38.87,8.84
36,Punta Arenas,75,CL,1568878250,77,-53.16,-70.91,37.4,10.29
37,Rikitea,100,PF,1568878250,82,-23.12,-134.97,71.81,18.34
38,Urambo,0,TZ,1568878250,24,-5.07,32.07,87.83,8.61
39,Vaini,75,IN,1568878251,88,15.34,74.49,78.8,6.93
40,Muros,0,ES,1568878251,100,42.77,-9.06,64.0,3.36
41,Dingle,100,PH,1568878251,81,11.0,122.67,80.27,6.62
42,Clyde River,90,CA,1568878251,93,70.47,-68.59,35.6,10.29
43,Qaanaaq,0,GL,1568878252,44,77.48,-69.36,16.73,7.83
44,Mount Gambier,100,AU,1568878252,47,-37.83,140.78,66.77,21.16
45,Hobart,20,AU,1568878189,34,-42.88,147.33,68.0,17.22
46,Hovd,75,NO,1568878253,93,63.83,10.7,48.99,6.93
47,Khatanga,93,RU,1568878253,47,71.98,102.47,40.67,8.46
48,Mahebourg,20,MU,1568878253,57,-20.41,57.7,78.8,6.93
49,Kabare,75,RW,1568878254,60,-1.65,29.38,69.8,6.93
50,Deputatskiy,100,RU,1568878254,94,69.3,139.9,35.27,3.71
51,Albany,20,US,1568877960,87,42.65,-73.75,46.0,2.1
52,Nikolskoye,40,RU,1568878255,61,59.7,30.79,48.0,8.95
53,Kamenka,0,MD,1568878256,64,48.03,28.7,52.0,5.01
54,Busselton,41,AU,1568878256,40,-33.64,115.35,57.0,24.47
55,Bredasdorp,75,ZA,1568878215,77,-34.53,20.04,70.0,11.41
56,Port Alfred,100,ZA,1568878256,89,-33.59,26.89,66.99,10.0
57,Egvekinot,67,RU,1568878257,62,66.32,-179.17,30.23,2.46
58,Rantepao,84,ID,1568878257,74,-2.97,119.9,69.83,2.3
59,Ambikapur,51,IN,1568878257,63,23.12,83.2,86.57,6.31
60,Arraial do Cabo,100,BR,1568878258,91,-22.97,-42.02,71.99,9.78
61,Victoria,75,BN,1568878204,66,5.28,115.24,93.2,8.05
62,Katsuura,75,JP,1568878258,41,33.93,134.5,78.8,17.22
63,Lompoc,90,US,1568878258,93,34.64,-120.46,64.0,8.05
64,Chapeco,34,BR,1568878259,98,-27.1,-52.62,56.69,1.81
65,Daru,68,PG,1568878259,84,-9.07,143.21,74.15,6.98
66,Fortuna,90,US,1568878259,100,40.6,-124.16,57.99,10.69
67,Upington,0,ZA,1568878260,10,-28.46,21.24,84.2,16.11
68,Sobolevo,98,RU,1568878260,82,54.43,31.9,47.69,7.27
69,Naron,3,ES,1568878260,100,43.52,-8.15,66.99,2.24
70,Vryburg,0,ZA,1568878260,14,-26.96,24.73,87.65,16.71
71,Nemuro,20,JP,1568878261,44,43.32,145.57,59.0,16.11
72,Nanortalik,100,GL,1568878261,69,60.14,-45.24,39.59,5.06
73,Pangnirtung,100,CA,1568878262,80,66.15,-65.72,28.07,5.44
74,Ribeira Grande,20,PT,1568878262,88,38.52,-28.7,71.6,12.75
75,Kamien Pomorski,20,PL,1568878263,87,53.97,14.77,57.0,8.05
76,Chuy,0,UY,1568877971,83,-33.69,-53.46,52.26,10.65
77,Chase,1,US,1568878263,83,38.35,-98.35,77.0,11.41
78,Wamba,0,CD,1568878263,43,2.14,27.99,88.19,3.27
79,San Cristobal,65,HN,1568878264,97,14.68,-86.92,67.13,1.9
80,Nome,90,US,1568878264,94,30.04,-94.42,81.0,9.17
81,Goma,75,CD,1568878264,60,-1.67,29.23,69.8,6.93
82,Lebu,20,ET,1568878264,72,8.96,38.73,66.05,5.55
83,Hilo,90,US,1568878265,74,19.71,-155.08,78.8,8.05
84,Iqaluit,90,CA,1568878265,93,63.75,-68.52,39.2,24.16
85,Saint-Louis,40,SN,1568878265,94,16.03,-16.5,80.6,4.7
86,Umm Lajj,0,SA,1568878266,74,25.02,37.27,86.03,11.61
87,Thompson,5,CA,1568878184,100,55.74,-97.86,39.2,2.24
88,Chapais,90,CA,1568878267,87,49.78,-74.86,57.2,9.17
